kw,sentence
impression en 3D,Même les entreprises du secteur de l&#39;alimentation et des boissons utilisent impression en 3D pour aider à concevoir de nouveaux produits.
impression en 3D,Les consommateurs ont également la possibilité de prendre en main les conceptions en tant que impression en 3D devient plus accessible.
impression en 3D,"Et comme impression en 3D prolifère, les opérateurs historiques demanderont presque certainement une protection contre les nouveaux arrivants avec un faible coût d&#39;entrée sur leurs marchés."
impression en 3D,Le potentiel de impression en 3D est énorme.
impression en 3D,"Sandra Canning, une artiste utilisant impression en 3D faire de la photographie des lithophanes imprimés en 3D."
impression en 3D,"Boîtier en aluminium anodisé, avec le matériau flottant à l&#39;intérieur comme une lampe à lave, le ProDesk est une vision de ce que impression en 3D devrait ressembler dans cinq ans, disent ses créateurs."
impression en 3D,"Divers matériaux utilisés dans impression en 3D comprennent le polyamide, l&#39;alumine, le titane, l&#39;argent, l&#39;or, la résine pouvant être peinte, le bronze, le laiton et l&#39;acier inoxydable."
impression en 3D,"Tout au long des années 1990, les progrès de la chimie ont conduit les matériaux à se solidifier plus rapidement, rendant ainsi impression en 3D plus utile."
impression en 3D,Il est donc probable que impression en 3D augmentera les méthodes de production actuelles et sera utilisé là où il est économiquement viable de le faire.
impression en 3D,"Cela pourrait ralentir l&#39;adoption généralisée de impression en 3D et impliquent que quiconque télécharge des fichiers CAO sur un site public enfreint en quelque sorte les droits, note Cory Doctorow, un écrivain scientifique canadien qui blogue pour Boing Boing."
Réseaux 4G,Maximiser l&#39;efficacité des réseaux 2G et 2.5G est crucial pour la superposition de la 3G et Réseaux 4G .
Système de comptabilité,Les Système de comptabilité enregistre la commande et lance le processus de facturation.
Système de comptabilité,Elle a été consternée de découvrir que le Système de comptabilité n&#39;a même pas couru à la comptabilité en partie double et a refusé de signer les comptes 2001.
Système de comptabilité,Les Système de comptabilité doit refléter fidèlement la véritable situation financière de la coopérative.
Système de comptabilité,"Alan a été nommé directeur général il y a environ 18 mois et a introduit un certain nombre de changements, notamment une gestion améliorée Système de comptabilité ."
Système de comptabilité,Il enregistrera la transaction dans le Système de comptabilité une fois le paiement effectué par la banque.
Système de comptabilité,"En outre, la loi sur la gestion et le contrôle des finances publiques a autorisé le ministère des Finances à établir une comptabilité d&#39;exercice Système de comptabilité ."
Système de comptabilité,Comment était-il possible d&#39;écrire d&#39;énormes dettes sans Système de comptabilité le signaler ?
Système de comptabilité,Le principal résultat de la finance Système de comptabilité est l&#39;état financier annuel.
Système de comptabilité,Hospital del Mar utilise un coût hospitalier Système de comptabilité sur la base d&#39;une affectation des coûts complets.
Système de comptabilité,"Les charges d&#39;exploitation à payer comprennent les charges d&#39;occupation, qui sont remplacées par les charges d&#39;occupation déterminées par le coût Système de comptabilité ."
capteurs acoustiques,"Quelle que soit la cause du phénomène, dit-il, les scientifiques devraient maintenant reconnaître que les icebergs peuvent être une source de bruit pour les sismomètres et sous-marins capteurs acoustiques ."
capteurs acoustiques,Un système de réciprocité est en phase finale de validation pour l&#39;étalonnage des capteurs acoustiques .
capteurs acoustiques,Les capteurs acoustiques ont été implantés en permanence sur la cuve à oxyde d&#39;éthylène pour permettre leur raccordement à chaque campagne de requalification sans détériorer le revêtement ignifuge.
système acoustique,"Le mieux, cependant, est que nous rendons notre revêtement de sol aussi silencieux que possible grâce au Sound-Protect système acoustique ."
système acoustique,La solution de rénovation parfaite dans un look haut de gamme est fournie avec le système écologique intégré système acoustique !
composant actif,"La présence de ces 2 ions sur un billet de banque confirmerait la présence de diacétylmorphine, le principal composant actif d&#39;héroïne."
composant actif,"Des études moléculaires ont montré que le tétrahydrocannabinol, le composant actif de cannabis, augmente la libération de dopamine dans la voie mésolimbique."
composant actif,Cette étude démontre que le matériau avec un faible poids moléculaire de 158 est un composant actif dans le pétiole de wasabi qui stimule la calcification osseuse.
composant actif,"Les composant actif de Prontosil s&#39;est avéré être le sulfanilamide, qui est devenu un autre sulfamide important."
composant actif,J&#39;ai évoqué le terme tétrahydrocannabinol qui est le plus composant actif de cannabis.
composant actif,"Les pesticides contenant du cuivre sont formulés à l&#39;aide de diverses formes de cuivre, qui se dissocie finalement en l&#39;ion cuivrique, le composant actif ."
composant actif,"Les inhibiteurs les plus puissants se trouvent dans les pommes de terre, et parmi eux les plus composant actif est la solanine glycoalcaloïde."
composant actif,Investigations pharmacologiques de l&#39;effet antidiabétique du Cortex Moutan et de ses composant actif paeonol.
composant actif,"La salvinorine A est un diterpène du néoclérodane et est le composant actif dans la plante, Salvia divinorum."
composant actif,"Le principal composant actif dans le gingembre qui lui donne sa saveur distincte, le gingérol, a été montré dans la recherche pour ralentir la croissance des tumeurs humaines chez la souris."
actionneurs,Le nouveau simulateur recrée la vitesse et la force d&#39;une onde de choc explosive à l&#39;aide d&#39;un système hydraulique contrôlé par ordinateur actionneurs .
actionneurs,"Chaque secondaire comportera 672 bobines actionneurs , maintenant en phase finale de fabrication en Italie."
actionneurs,"Devant actionneurs , les accumulateurs et les conduites hydrauliques nécessitent une maintenance programmée et non programmée."
actionneurs,Cette technologie implique la construction de très petits dispositifs mécaniques couplés à des capteurs électriques et actionneurs .
actionneurs,"Contrairement à des efforts similaires, Darim utilise des servomoteurs électroniques au lieu de l&#39;hydraulique actionneurs ."
actionneurs,Et le rapace actionneurs peut être monté au préalable sur le câble plat en atelier.
actionneurs,"Les actionneurs utilisent des courants élevés, et certains ont des courants d&#39;appel qui peuvent être 10 fois supérieurs à leur valeur en régime permanent."
actionneurs,"Une fois la machine ou ses parties dangereuses arrêtées, l&#39;alimentation en énergie du actionneurs concerné doit être coupé."
actionneurs,"Version de base ICON2000 actionneurs sont équipés de moteurs asynchrones triphasés à cage d&#39;écureuil, équilibrés à faible inertie de type induction."
actionneurs,"L&#39;industrie chimique, par exemple, a déjà installé des légions de capteurs et actionneurs pour augmenter son efficacité."
réseaux sans fil ad hoc,"Une variété de scénarios est envisageable ici en fonction de la carte réseau, en particulier dans le cas de réseaux sans fil ad hoc ."
adapter les systèmes,"Nous devons le faire adapter les systèmes et des programmes pour faciliter le soutien aux aidants, qui est une pièce du puzzle d&#39;une importance cruciale."
systèmes numériques avancés,"Pour le systèmes numériques avancés , l&#39;objectif est de fournir un service stéréophonique de haute qualité, comparable à la qualité d&#39;un disque compact."
fabrication avancée,Les neuf usines américaines de l&#39;entreprise contiennent certaines des usines les plus fabrication avancée équipements dans l&#39;industrie.
fabrication avancée,"De plus, le fabrication avancée procédé garantit une chélation complète des différents éléments."
fabrication avancée,"Cela s&#39;expliquait auparavant par le fait que l&#39;Allemagne produisait davantage des types de produits nécessaires à la phase de croissance à forte intensité capitalistique de la Chine, en particulier des usines lourdes et des fabrication avancée équipement."
fabrication avancée,"Les secteurs d&#39;intérêt comprennent les ressources naturelles, les énergies renouvelables, les technologies de l&#39;information et de la communication, la transformation des aliments, les produits pharmaceutiques et la médecine naturelle, et fabrication avancée ."
fabrication avancée,Il a employé fabrication avancée techniques telles que des pièces interchangeables et une ligne de production organisée.
fabrication avancée,"Bien que la fabrication traditionnelle soit en déclin dans la ville depuis plusieurs décennies, le haut de gamme fabrication avancée reste très forte dans la ville."
Fabrication de pointe,"La première action a été déposée devant la Cour fédérale de district du Texas contre Fabrication de pointe Systèmes d&#39;ingénierie du Nevada, Iowa."
Fabrication de pointe,La société à l&#39;origine du domaine de 700 acres de Wynyard Park près de Stockton propose des plans pour développer le site South West Ironmasters en tant que Fabrication de pointe Se garer.
fabrication avancée,Mais nous avons certains des plus techniques fabrication avancée plantes dans le monde.
fabrication avancée,Il souligne également les aspects d&#39;un cadre politique nécessaire pour garantir que l&#39;acier puisse continuer à évoluer et soutenir une évolution technologique fabrication avancée économie.
systèmes aérospatiaux,"En raison de l&#39;impact de l&#39;échec, systèmes aérospatiaux ont une plus grande redondance et des exigences de sécurité intégrée."
Systèmes aérospatiaux,Les fusées laser utilisées dans nos radeaux de sauvetage sont un exemple de la façon dont l&#39;UTC Systèmes aérospatiaux cherche à intégrer les nouvelles technologies dans tous ses produits.
